,,,Overall,,,,,,,,
Name,Team,Salary,Age,Pos,GP,W,L,W%,SO,GAA,SV%
Andrei Vasilevski,TBL,9.5,25,G,52,35,14,0.673076923,3,2.56,0.917
Connor Hellebuyck,WPG,6.167,26,G,58,31,21,0.534482759,6,2.57,0.922
Jordan Binnington,STL,4.4,26,G,50,30,13,0.6,3,2.57,0.912
Frederik Andersen,TOR,5,30,G,52,29,13,0.557692308,3,2.85,0.909
Marc-Andre Fleury,VGK,7,35,G,49,27,16,0.551020408,5,2.77,0.905
Carey Price,MTL,10.5,32,G,58,27,25,0.465517241,4,2.79,0.909
Tuukka Rask,BOS,7,32,G,41,26,8,0.634146341,5,2.12,0.929
Braden Holtby,VAN,4.3,30,G,48,25,14,0.520833333,0,3.11,0.898
Carter Hart,PHI,1,21,G,43,24,13,0.558139535,1,2.42,0.914
David Rittich,CGY,2.75,27,G,48,24,17,0.5,2,2.97,0.907
Jacob Markström,CGY,6,29,G,43,23,16,0.534883721,2,2.97,0.918
Sergei Bobrovsky,FLA,10,31,G,50,23,19,0.46,1,3.23,0.9
Mackenzie Blackwood,NJD,1,23,G,47,22,14,0.468085106,3,2.77,0.915
Pavel Francouz,COL,2,29,G,34,21,7,0.617647059,1,2.41,0.923
Petr Mrazek,CAR,3.125,27,G,40,21,16,0.525,3,2.69,0.905
Ben Bishop,DAL,4.916,33,G,44,21,16,0.477272727,2,2.5,0.92
Tristan Jarry,PIT,3.5,24,G,33,20,12,0.606060606,3,2.43,0.921
Alex Stalock,MIN,1,32,G,38,20,11,0.526315789,4,2.67,0.91
Matt Murray,OTT,6.25,25,G,38,20,11,0.526315789,1,2.87,0.899
John Gibson,ANA,6.4,26,G,51,20,26,0.392156863,1,3,0.904
Robin Lehner,VGK,5,28,G,36,19,10,0.527777778,1,2.89,0.92
Joonas Korpisalo,CBJ,2.8,25,G,37,19,12,0.513513514,2,2.6,0.911
Mike Smith,EDM,1.5,37,G,39,19,12,0.487179487,1,2.95,0.903
Semyon Varlamov,NYI,5,31,G,45,19,14,0.422222222,2,2.62,0.914
Jaroslav Halak,BOS,2.75,34,G,31,18,6,0.580645161,3,2.39,0.919
Pekka Rinne,NSH,5,37,G,36,18,14,0.5,3,3.17,0.895
Philipp Grubauer,COL,3.333,28,G,36,18,12,0.5,2,2.63,0.916
Mikko Koskinen,EDM,4.5,31,G,38,18,13,0.473684211,1,2.75,0.917
Linus Ullmark,BUF,2.6,26,G,34,17,14,0.5,1,2.69,0.915
Alexandar Georgiev,NYR,2.425,23,G,34,17,14,0.5,2,3.05,0.91
Juuse Saros,NSH,1.5,24,G,40,17,12,0.425,4,2.7,0.914
Martin Jones,SJS,5.75,29,G,41,17,21,0.414634146,2,3,0.896
Ilya Samsonov,WSH,1.475,22,G,26,16,6,0.615384615,1,2.55,0.913
Darcy Kuemper,ARI,4.5,29,G,29,16,11,0.551724138,2,2.22,0.928
Anton Khudobin,DAL,3.333,33,G,30,16,8,0.533333333,0,2.22,0.93
Thomas Greiss,DET,3.6,33,G,31,16,9,0.516129032,0,2.74,0.913
Brian Elliott,PHI,1.5,34,G,31,16,7,0.516129032,2,2.87,0.9
Corey Crawford,NJD,3.9,35,G,40,16,20,0.4,1,2.77,0.917
Jonathan Quick,LAK,5.8,33,G,42,16,22,0.380952381,1,2.79,0.904
Antti Raanta,ARI,4.25,30,G,33,15,14,0.454545455,2,2.63,0.921
Jonathan Bernier,DET,3,31,G,46,15,22,0.326086957,1,2.95,0.907
James Reimer,CAR,3.4,31,G,25,14,6,0.56,3,2.66,0.914
Thatcher Demko,VAN,1.05,24,G,27,13,10,0.481481481,0,3.06,0.905
Elvis Merzlikins,CBJ,4,25,G,32,13,9,0.40625,5,2.35,0.923
Jake Allen,MTL,4.35,29,G,24,12,6,0.5,2,2.15,0.927
Cameron Talbot,MIN,3.667,32,G,26,12,10,0.461538462,2,2.64,0.919
Devan Dubnyk,SJS,4.333,33,G,30,12,15,0.4,1,3.35,0.891
Carter Hutton,BUF,2.75,34,G,31,12,14,0.387096774,2,3.18,0.898
Aaron Dell,TOR,1,30,G,33,12,15,0.363636364,0,3.01,0.907
Jack Campbell,TOR,1.65,27,G,26,11,12,0.423076923,0,2.8,0.904
